n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
162,183,863,884,362,107,89,3,0,53,11,10,0,6,17,3,0,17,36,1,21,0,5,1,10,0,0,0,0,127,118,7,18,66.0493827160494,41.28395061728395,6.7530864197530605,53.70370370370371,99.80608820915222,46,1,7,1,5
67,73,338,344,147,53,49,2,0,20,6,5,0,4,5,0,0,7,15,1,6,0,3,0,3,0,0,0,0,52,48,4,11,79.1044776119403,47.507462686567166,29.88805970149255,55.223880597014926,99.75288510322571,38,3,8,2,7
171,197,930,956,396,95,78,4,1,59,12,0,0,2,16,5,0,15,42,4,26,0,8,4,10,0,1,0,0,139,116,23,27,55.55555555555556,41.63157894736842,12.7236842105263,51.461988304093566,99.82852339744568,44,5,4,4,3
69,77,364,372,156,60,53,4,0,20,6,7,0,2,8,1,0,5,14,2,8,0,3,0,3,1,1,0,1,48,36,10,7,86.95652173913044,53.63768115942029,41.79347826086956,47.82608695652174,97.23209142684937,199,15,13,12,6
197,227,1010,1040,415,137,126,8,0,54,24,11,0,1,14,6,0,14,34,22,30,0,7,0,18,1,0,0,0,118,105,13,17,69.54314720812182,49.91370558375635,44.44606598984771,47.20812182741117,97.59010076522827,228,35,30,28,15
476,538,2480,2542,1020,269,246,18,1,132,29,31,2,8,34,4,0,38,115,44,61,0,10,5,25,0,1,1,1,285,242,41,44,56.51260504201681,48.2436974789916,40.26984126984128,43.48739495798319,100.0,1,0,0,0,0
282,304,1537,1559,623,189,154,14,0,68,38,7,0,5,35,6,0,32,63,18,22,0,4,0,21,4,1,0,0,200,183,20,25,67.02127659574468,49.39007092198582,42.25785207700099,50.70921985815603,98.28898906707764,224,38,38,26,11
