n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
101,116,597,612,248,73,59,4,0,30,20,2,0,0,12,2,0,8,21,2,15,0,4,0,11,1,1,0,3,78,71,7,6,72.27722772277228,41.772277227722775,21.14603960396039,57.42574257425742,99.88674521446228,14,8,7,3,2
158,176,935,953,386,120,101,6,0,44,26,9,0,9,15,5,0,9,32,3,18,0,3,2,19,2,0,0,4,106,90,17,11,75.9493670886076,41.21518987341772,20.86919831223626,55.69620253164557,98.19671511650085,19,8,5,2,1
158,176,935,953,386,120,101,6,0,44,26,9,0,9,15,5,0,9,32,3,18,0,3,2,19,2,0,0,4,106,90,17,11,75.9493670886076,41.21518987341772,20.86919831223626,55.69620253164557,98.19671511650085,19,8,5,2,1
61,69,354,362,146,56,51,3,0,17,8,3,0,2,5,1,0,4,15,5,8,0,0,0,5,0,0,0,1,43,39,4,1,91.80327868852459,45.721311475409834,30.09289617486338,50.81967213114754,98.96940588951111,63,11,11,9,7
59,67,351,359,144,55,50,3,0,16,8,3,0,2,4,1,0,6,13,5,8,0,0,0,4,0,0,0,0,39,36,3,0,93.22033898305084,44.76271186440678,27.689265536723145,54.23728813559322,99.4697093963623,14,5,5,4,4
410,488,2323,2401,954,229,205,20,0,130,27,35,0,1,38,8,0,33,87,19,77,0,18,5,20,2,1,0,5,247,222,27,40,55.85365853658537,46.97560975609756,34.256097560975604,46.58536585365854,99.4129478931427,19,3,16,0,0
410,488,2323,2401,954,229,205,20,0,130,27,35,0,1,38,8,0,33,87,19,77,0,18,5,20,2,1,0,5,247,222,27,40,55.85365853658537,46.97560975609756,34.256097560975604,46.58536585365854,99.4129478931427,19,3,16,0,0
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182,99.97726082801819,1,1,1,1,1
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182,99.97726082801819,1,1,1,1,1
41,47,209,215,86,35,32,1,0,11,7,0,0,0,3,5,0,2,8,3,6,0,2,0,3,0,1,0,1,30,27,3,6,85.36585365853658,45.34146341463415,28.65853658536585,48.78048780487805,98.95429015159607,5,1,1,1,1
89,109,532,552,216,65,60,10,0,29,9,0,0,0,7,3,0,12,17,6,20,0,2,0,7,0,2,0,1,66,46,20,8,73.03370786516854,62.932584269662925,39.34719101123594,56.17977528089888,99.60853457450867,7,1,0,1,0
79,97,495,513,204,60,55,1,0,28,7,0,0,0,3,1,0,9,17,4,18,0,5,0,5,0,0,0,0,51,41,10,8,75.9493670886076,30.139240506329116,-40.84810126582278,55.69620253164557,99.94362592697144,7,5,5,1,2
68,78,404,414,166,60,51,4,0,15,12,0,0,3,9,4,0,6,14,1,10,0,3,0,9,1,0,0,0,53,43,12,8,88.23529411764706,47.23529411764706,30.323529411764696,52.94117647058824,99.86985921859741,12,6,9,3,3
68,78,404,414,166,60,51,4,0,15,12,0,0,3,9,4,0,6,14,1,10,0,3,0,9,1,0,0,0,53,43,12,8,88.23529411764706,47.23529411764706,30.323529411764696,52.94117647058824,99.86985921859741,12,6,9,3,3
438,501,2368,2431,970,253,230,14,0,125,30,27,0,8,34,5,0,37,106,40,63,0,10,5,25,0,2,1,2,274,233,39,42,57.76255707762557,44.52511415525114,30.764514024788006,45.662100456621005,99.31886792182922,152,1,32,1,8
463,529,2467,2533,1007,264,241,14,0,130,31,31,2,8,35,5,0,39,114,43,65,0,10,5,26,0,2,1,2,286,243,41,44,57.01943844492441,44.78833693304536,31.55708114779391,44.9244060475162,99.32000637054443,45,6,24,1,2
324,370,1863,1909,786,200,177,16,0,102,39,10,2,11,25,1,0,27,81,17,43,0,5,0,16,9,0,0,3,226,185,43,29,61.72839506172839,46.31481481481482,28.06481481481481,55.24691358024691,99.92997646331787,10,4,3,3,1
154,170,837,853,347,95,84,2,0,46,9,5,0,3,19,2,0,12,38,11,16,0,8,1,7,0,0,0,1,108,94,14,15,61.68831168831169,38.54545454545455,-17.46103896103898,45.45454545454545,99.96057152748108,8,3,8,1,5
366,414,1880,1928,766,187,165,13,0,119,20,36,0,1,29,4,0,28,89,16,47,0,18,0,15,2,0,0,2,224,186,39,38,51.09289617486339,48.2896174863388,41.807902480033626,45.90163934426229,99.82500076293945,11,2,10,0,2
401,460,2114,2173,842,211,188,20,0,118,31,43,0,7,28,5,0,35,88,21,59,0,11,3,25,1,0,0,6,206,180,24,28,52.618453865336654,51.244389027431424,49.46620947630923,47.63092269326683,98.39668869972229,374,17,55,6,16
422,464,2375,2417,964,191,167,19,0,112,36,29,0,7,35,8,0,38,100,28,42,0,7,8,17,5,0,0,6,225,190,34,24,45.26066350710901,46.22748815165877,35.30606136193567,45.7345971563981,99.8009443283081,54,38,41,16,15
422,464,2375,2417,964,191,167,19,0,112,36,29,0,7,35,8,0,38,100,28,42,0,7,8,17,5,0,0,6,225,190,34,24,45.26066350710901,46.22748815165877,35.30606136193567,45.7345971563981,99.8009443283081,54,38,41,16,15
327,376,1783,1832,751,184,161,11,1,110,31,16,0,7,28,1,0,26,88,8,49,0,5,2,18,4,0,0,5,219,182,37,27,56.269113149847094,44.56574923547401,26.99138170697804,53.21100917431193,99.59021806716919,20,5,7,2,2
246,286,1332,1372,548,122,104,22,0,84,21,16,0,6,11,2,0,19,50,22,38,0,8,1,11,4,0,0,6,140,113,27,27,49.59349593495935,61.6829268292683,50.02143385070213,52.84552845528455,99.21302199363708,144,17,16,5,4
74,89,372,393,155,58,53,2,0,21,15,2,0,3,5,6,0,2,14,0,15,0,4,2,10,1,1,0,1,59,44,15,8,78.37837837837837,46.83783783783784,32.851351351351326,55.4054054054054,99.55056309700012,4,3,2,1,0
84,95,477,494,204,60,53,5,0,20,16,0,0,1,8,3,0,5,20,7,11,0,2,1,7,2,3,0,0,54,48,6,9,71.42857142857143,50.07142857142857,31.342857142857138,50.0,99.63081479072571,4,1,4,0,2
84,95,477,494,204,60,53,5,0,20,16,0,0,1,8,3,0,5,20,7,11,0,2,1,7,2,3,0,0,54,48,6,9,71.42857142857143,50.07142857142857,31.342857142857138,50.0,99.63081479072571,4,1,4,0,2
396,460,2220,2284,919,222,199,17,0,125,24,31,0,0,34,4,0,32,87,27,63,0,20,4,18,2,0,0,5,230,202,30,40,56.060606060606055,45.81818181818182,31.859922756981593,45.707070707070706,99.9258816242218,17,7,19,2,1
268,287,1450,1469,588,178,150,9,0,67,30,7,0,3,32,5,0,32,63,17,19,0,6,0,20,3,1,0,2,184,167,20,29,66.4179104477612,44.97014925373134,33.61028192371477,49.25373134328358,98.72900247573853,29,17,28,5,5
449,505,2538,2594,1064,209,183,10,0,150,31,17,0,5,31,6,0,38,123,18,56,0,12,2,22,2,1,0,2,291,253,37,58,46.5478841870824,39.15590200445434,7.068819599109112,49.88864142538976,99.5348334312439,6,5,8,1,3
102,124,631,653,256,76,68,3,0,36,4,2,0,2,13,0,0,15,21,4,22,0,5,0,2,1,0,0,1,72,58,14,10,74.50980392156863,35.96078431372549,8.862745098039227,55.88235294117647,99.84557032585144,18,6,5,6,4
253,304,1464,1515,615,153,133,4,5,90,13,6,0,2,14,4,0,34,63,4,51,0,8,0,10,0,0,0,4,167,133,38,26,60.47430830039525,35.87747035573123,-15.253952569169968,54.9407114624506,99.96985197067261,20,13,19,2,2
351,405,2048,2104,840,193,165,10,3,100,29,3,0,5,25,3,0,35,88,31,54,0,15,3,17,2,1,0,5,217,186,31,35,54.98575498575499,39.199430199430196,15.344444444444427,48.148148148148145,99.5371401309967,52,27,27,10,12
86,95,519,528,211,72,63,3,1,18,15,4,0,1,15,1,0,7,15,6,9,0,1,0,3,5,0,0,0,59,51,8,4,83.72093023255815,39.116279069767444,17.856589147286815,47.674418604651166,99.77790117263794,16,5,3,4,2
