n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density
423,490,2338,2405,966,233,208,18,0,131,26,35,0,1,38,8,0,33,89,18,66,0,18,5,19,2,1,0,5,250,224,28,40,55.08274231678487,46.494089834515364,34.06028368794324,45.15366430260047
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182
42,44,211,213,87,35,32,2,0,11,7,0,0,0,3,5,0,2,9,3,2,0,2,0,2,0,2,0,1,31,28,3,7,83.33333333333334,53.04761904761905,50.35714285714283,47.61904761904761
89,105,527,543,214,64,60,13,0,28,9,0,0,0,7,3,0,12,17,6,16,0,2,0,7,0,2,0,1,65,45,20,8,71.91011235955057,73.6067415730337,42.86171132238547,55.0561797752809
80,95,496,511,208,60,54,1,0,28,7,0,0,0,3,1,0,9,17,4,15,0,5,0,5,0,0,0,0,51,41,10,8,75.0,30.75,-43.00000000000003,55.00000000000001
70,79,409,418,171,62,52,2,0,15,11,0,0,3,9,4,0,7,14,1,9,0,3,0,8,1,0,0,0,52,43,11,8,88.57142857142857,39.142857142857146,12.214285714285694,51.42857142857142
70,79,409,418,171,62,52,2,0,15,11,0,0,3,9,4,0,7,14,1,9,0,3,0,8,1,0,0,0,52,43,11,8,88.57142857142857,39.142857142857146,12.214285714285694,51.42857142857142
480,542,2501,2563,1027,273,250,19,1,132,29,31,2,8,34,4,0,38,115,45,61,0,10,5,25,0,1,1,1,285,242,41,44,56.875,48.770833333333336,41.66392543859647,43.125
478,540,2485,2547,1022,271,248,19,1,132,29,31,2,8,34,4,0,38,115,44,61,0,10,5,25,0,1,1,1,285,242,41,44,56.69456066945606,48.93723849372385,41.86720986566837,43.30543933054393
324,369,1856,1901,785,199,176,17,0,102,39,10,2,12,25,1,0,26,82,16,42,0,5,0,16,9,0,0,3,225,185,42,29,61.419753086419746,47.45679012345679,29.45660856935365,55.24691358024691
154,170,837,853,350,97,84,2,0,46,9,5,0,3,19,2,0,12,38,11,16,0,8,1,7,0,0,0,0,108,94,14,15,62.98701298701299,38.54545454545455,-18.727272727272748,45.45454545454545
375,413,1889,1927,775,188,167,11,0,117,20,36,0,1,29,4,0,30,92,13,37,0,18,0,15,2,0,0,1,225,187,39,38,50.13333333333333,47.42666666666667,37.575757575757564,44.800000000000004
480,538,2461,2519,1003,231,208,22,0,144,36,51,0,7,34,9,0,39,105,17,56,0,13,3,30,1,0,0,6,240,210,28,35,48.125,51.479166666666664,48.35890151515153,47.083333333333336
436,472,2374,2410,986,192,169,16,0,113,35,29,0,7,36,8,0,37,101,27,36,0,7,8,15,4,0,0,6,227,191,34,25,44.03669724770643,45.559633027522935,31.754587155963293,44.03669724770643
436,472,2374,2410,986,192,169,16,0,113,35,29,0,7,36,8,0,37,101,27,36,0,7,8,15,4,0,0,6,227,191,34,25,44.03669724770643,45.559633027522935,31.754587155963293,44.03669724770643
329,371,1787,1829,750,186,162,12,1,111,31,15,0,7,29,1,0,26,88,8,41,0,5,2,18,4,0,0,6,220,183,37,27,56.53495440729483,45.62613981762918,30.40704154002025,53.191489361702125
237,273,1276,1312,528,117,100,9,0,79,21,16,0,5,11,2,0,19,49,17,34,0,5,1,12,4,0,0,2,129,104,25,19,49.36708860759494,46.552742616033754,34.856540084388186,52.320675105485236
72,80,369,383,153,57,53,3,0,21,15,1,0,3,5,5,0,2,14,0,8,0,3,2,10,1,1,0,1,57,42,15,7,79.16666666666666,50.25,43.875,56.94444444444444
85,94,477,493,205,63,54,6,0,22,16,0,0,1,8,3,0,5,20,5,9,0,2,1,7,2,3,0,0,57,51,6,9,74.11764705882354,54.05882352941177,35.06862745098041,51.76470588235295
85,94,477,493,205,63,54,6,0,22,16,0,0,1,8,3,0,5,20,5,9,0,2,1,7,2,3,0,0,57,51,6,9,74.11764705882354,54.05882352941177,35.06862745098041,51.76470588235295
407,461,2229,2283,929,225,201,14,0,126,24,31,0,0,34,4,0,32,88,25,53,0,20,4,18,2,0,0,5,231,202,31,40,55.28255528255528,44.55282555282555,28.56247806247806,44.717444717444714
278,296,1454,1472,602,177,149,9,1,67,30,6,0,3,31,5,0,32,63,16,18,0,6,0,20,3,1,0,0,183,166,20,29,63.66906474820144,46.410071942446045,34.355715427657884,47.482014388489205
448,503,2537,2592,1064,212,184,10,0,152,31,16,0,5,31,6,0,37,123,16,55,0,12,2,22,2,1,0,2,291,253,37,58,47.32142857142857,39.066964285714285,6.825000000000003,50.22321428571429
99,121,625,647,253,76,68,3,0,36,4,2,0,2,10,0,0,15,21,4,22,0,5,0,2,1,0,0,1,68,54,14,10,76.76767676767676,34.95959595959596,6.888888888888914,57.57575757575758
260,307,1471,1518,632,154,134,8,1,94,14,6,0,2,14,4,0,34,64,2,47,0,8,0,11,0,0,0,2,167,133,38,26,59.23076923076923,41.65384615384615,15.500000000000028,55.38461538461539
375,427,2065,2119,874,195,166,15,2,101,30,3,0,5,27,2,0,34,88,34,49,0,15,3,18,2,1,0,3,221,188,33,36,52.0,45.93333333333333,29.50666666666666,45.33333333333333
86,95,515,524,209,70,64,3,1,18,14,4,0,1,17,1,0,7,14,6,9,0,1,0,4,4,0,0,0,59,51,8,4,81.3953488372093,39.58139534883721,19.368217054263557,46.51162790697674
248,276,1341,1369,572,141,121,13,0,75,28,0,0,5,23,4,0,23,65,10,28,0,7,1,19,0,1,0,0,182,161,22,16,56.85483870967742,50.653225806451616,37.003722084367226,52.82258064516129
273,318,1486,1531,620,151,130,10,3,67,27,6,1,6,18,2,0,17,58,30,45,0,10,0,15,3,0,0,0,139,116,22,24,55.311355311355314,45.556776556776555,31.08095238095238,42.857142857142854
305,342,1623,1660,674,187,165,11,3,83,30,8,0,5,27,3,0,23,73,28,36,0,10,0,8,10,0,0,2,183,151,29,38,61.31147540983607,46.60655737704918,34.63338301043216,46.22950819672131
