n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
51,57,335,341,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,6,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529,99.77177381515503,0,0,0,0,0
51,57,335,341,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,6,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529,99.77177381515503,0,0,0,0,0
101,116,597,612,248,73,59,4,0,30,20,2,0,0,12,2,0,8,21,2,15,0,4,0,11,1,1,0,3,78,71,7,6,72.27722772277228,41.772277227722775,21.14603960396039,57.42574257425742,99.88674521446228,14,8,7,3,2
101,116,597,612,248,73,59,4,0,30,20,2,0,0,12,2,0,8,21,2,15,0,4,0,11,1,1,0,3,78,71,7,6,72.27722772277228,41.772277227722775,21.14603960396039,57.42574257425742,99.88674521446228,14,8,7,3,2
150,166,913,929,374,116,97,6,0,40,26,5,0,9,15,5,0,9,32,3,16,0,3,2,19,2,0,0,4,102,86,17,11,77.33333333333333,40.13333333333333,18.933333333333337,56.00000000000001,98.37868809700012,25,4,9,0,3
150,166,913,929,374,116,97,6,0,40,26,5,0,9,15,5,0,9,32,3,16,0,3,2,19,2,0,0,4,102,86,17,11,77.33333333333333,40.13333333333333,18.933333333333337,56.00000000000001,98.37868809700012,25,4,9,0,3
61,69,354,362,146,56,51,3,0,17,8,3,0,2,5,1,0,4,15,5,8,0,0,0,5,0,0,0,1,43,39,4,1,91.80327868852459,45.721311475409834,30.09289617486338,50.81967213114754,98.96940588951111,63,11,11,9,7
59,67,351,359,144,55,50,3,0,16,8,3,0,2,4,1,0,6,13,5,8,0,0,0,4,0,0,0,0,39,36,3,0,93.22033898305084,44.76271186440678,27.689265536723145,54.23728813559322,99.4697093963623,14,5,5,4,4
392,470,2262,2340,922,218,196,19,0,120,27,33,0,1,37,8,0,31,83,19,78,0,18,5,20,2,1,0,5,233,209,26,38,55.61224489795919,45.83673469387755,32.48576799140709,45.66326530612245,99.35635328292847,111,6,35,0,13
392,470,2262,2340,922,218,196,19,0,120,27,33,0,1,37,8,0,31,83,19,78,0,18,5,20,2,1,0,5,233,209,26,38,55.61224489795919,45.83673469387755,32.48576799140709,45.66326530612245,99.35635328292847,111,6,35,0,13
