n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
101,115,596,610,248,73,58,4,0,31,19,2,0,0,14,2,0,7,20,2,14,0,4,0,11,0,1,0,1,81,73,8,5,72.27722772277228,41.87128712871287,21.14603960396039,56.43564356435643,99.48797821998596,54,14,14,9,6
130,144,763,777,310,103,82,6,0,33,25,5,0,5,21,3,0,8,20,3,14,0,2,4,14,2,1,0,0,101,90,12,9,79.23076923076923,44.15384615384615,29.333333333333332,54.61538461538461,97.95920252799988,355,36,53,31,33
130,144,763,777,310,103,82,6,0,33,25,5,0,5,21,3,0,8,20,3,14,0,2,4,14,2,1,0,0,101,90,12,9,79.23076923076923,44.15384615384615,29.333333333333332,54.61538461538461,97.95920252799988,355,36,53,31,33
53,61,321,329,132,51,47,3,0,15,7,3,0,1,5,1,0,4,11,5,8,0,0,0,4,0,0,0,0,35,32,3,0,96.22641509433963,45.41509433962264,26.446540880503125,50.943396226415096,98.19931387901306,85,13,18,10,14
53,61,314,322,130,49,45,3,0,14,7,3,0,1,5,2,0,3,12,5,8,0,0,0,4,0,1,0,0,35,31,4,0,92.45283018867924,46.735849056603776,28.899371069182383,47.16981132075472,98.35578203201294,106,12,20,9,15
381,459,2192,2270,892,214,193,18,0,116,26,33,0,2,36,8,0,29,79,19,78,0,19,4,20,2,1,0,1,230,205,26,38,56.16797900262467,45.64041994750656,32.6548556430446,45.40682414698163,99.23068881034851,276,19,53,13,24
381,459,2192,2270,892,214,193,18,0,116,26,33,0,2,36,8,0,29,79,19,78,0,19,4,20,2,1,0,1,230,205,26,38,56.16797900262467,45.64041994750656,32.6548556430446,45.40682414698163,99.23068881034851,276,19,53,13,24
45,50,249,254,103,42,37,1,0,11,11,0,0,1,8,3,0,2,8,0,5,0,0,1,6,0,1,0,0,43,39,5,4,93.33333333333333,40.333333333333336,12.222222222222229,55.55555555555556,97.00267314910889,97,18,17,18,14
45,50,249,254,103,42,37,1,0,11,11,0,0,1,8,3,0,2,8,0,5,0,0,1,6,0,1,0,0,43,39,5,4,93.33333333333333,40.333333333333336,12.222222222222229,55.55555555555556,97.00267314910889,97,18,17,18,14
39,45,197,203,82,35,32,1,0,10,8,0,0,0,4,2,0,2,6,3,6,0,2,2,2,1,1,0,0,31,28,3,5,89.74358974358975,46.17948717948718,30.333333333333343,51.28205128205128,97.9541540145874,58,10,10,10,7
84,104,506,526,209,61,57,11,0,26,9,0,0,0,7,2,0,12,16,6,20,0,2,0,7,0,2,0,0,64,43,21,8,72.61904761904762,68.04761904761905,36.63744588744588,55.952380952380956,99.30031895637512,54,7,10,7,9
81,99,501,519,206,62,57,2,0,28,9,0,0,0,4,1,0,9,16,4,18,0,5,0,5,1,0,0,0,53,45,8,8,76.5432098765432,34.55555555555556,0.19135802469133978,56.79012345679012,98.24000597000122,72,13,11,8,7
66,76,402,412,164,58,48,4,0,15,11,0,0,3,9,5,0,6,12,1,10,0,3,0,8,1,0,0,0,51,42,10,6,87.87878787878788,46.27272727272727,27.98484848484847,53.03030303030303,99.02684688568115,51,12,17,8,9
66,76,402,412,164,58,48,4,0,15,11,0,0,3,9,5,0,6,12,1,10,0,3,0,8,1,0,0,0,51,42,10,6,87.87878787878788,46.27272727272727,27.98484848484847,53.03030303030303,99.02684688568115,51,12,17,8,9
441,508,2392,2459,972,244,219,16,0,127,32,26,0,7,36,4,0,35,106,41,67,0,10,6,27,0,1,1,1,276,237,37,41,55.32879818594104,45.64399092970522,35.172193877551024,45.57823129251701,98.27345609664917,307,16,55,10,18
396,455,2150,2209,878,239,213,13,0,111,30,22,0,6,36,4,0,33,96,34,59,0,10,5,23,1,1,1,1,253,217,34,38,60.35353535353535,44.55555555555556,31.422299922299935,45.45454545454545,98.30828905105591,490,21,64,15,24
309,354,1770,1815,746,196,170,16,0,93,42,10,2,12,22,2,0,24,75,17,42,0,5,1,19,9,0,0,0,217,181,36,27,63.43042071197411,47.25242718446602,29.761933656957922,55.33980582524271,98.74342679977417,206,20,23,18,17
106,119,581,594,242,71,62,2,0,32,6,3,0,1,13,1,0,9,26,8,13,0,6,1,5,0,0,0,0,72,61,11,10,66.98113207547169,39.84905660377358,4.603773584905639,45.28301886792453,97.15721011161804,275,4,34,2,24
334,378,1816,1860,721,174,155,12,1,101,21,20,0,1,34,7,0,29,82,13,44,0,18,0,16,2,0,0,0,211,174,37,37,52.09580838323353,45.40718562874252,37.85229540918162,45.50898203592814,99.13784265518188,176,19,52,4,24
376,431,2033,2088,800,201,178,21,0,102,30,41,0,6,30,3,0,35,82,21,55,0,11,4,22,2,0,0,0,191,167,22,28,53.45744680851063,51.68617021276596,49.79736575481254,46.01063829787234,98.05209040641785,522,30,93,13,39
390,430,2211,2251,893,182,158,19,0,100,38,29,0,4,37,4,0,36,84,28,40,0,7,9,19,5,0,0,1,210,176,32,22,46.666666666666664,46.92307692307692,36.640350877193,45.64102564102564,97.28313088417053,356,55,73,29,36
390,430,2211,2251,893,182,158,19,0,100,38,29,0,4,37,4,0,36,84,28,40,0,7,9,19,5,0,0,1,210,176,32,22,46.666666666666664,46.92307692307692,36.640350877193,45.64102564102564,97.28313088417053,356,55,73,29,36
317,363,1731,1777,725,181,158,11,1,103,33,12,0,7,31,2,0,26,82,8,46,0,5,3,18,5,0,0,0,220,184,36,28,57.09779179810725,44.80441640378549,28.522512188127333,53.31230283911672,98.8517701625824,170,24,32,18,18
229,269,1162,1202,475,120,106,15,0,72,22,17,0,7,14,4,0,13,42,22,38,0,8,2,10,5,1,0,4,135,113,22,27,52.40174672489083,57.90829694323144,55.908005822416285,49.78165938864629,97.16119170188904,347,39,45,24,20
73,88,356,377,147,57,53,2,0,21,15,2,0,3,4,7,0,2,14,0,15,0,4,1,7,2,1,0,0,58,45,13,8,78.08219178082192,48.45205479452055,38.60958904109589,56.16438356164384,98.85430335998535,57,12,13,8,9
78,89,424,441,181,60,51,5,0,18,14,0,0,1,9,3,0,5,17,7,11,0,2,1,7,1,3,0,0,53,50,3,9,76.92307692307693,53.87179487179487,39.566666666666656,48.717948717948715,97.58879542350769,81,9,12,7,5
78,89,424,441,181,60,51,5,0,18,14,0,0,1,9,3,0,5,17,7,11,0,2,1,7,1,3,0,0,53,50,3,9,76.92307692307693,53.87179487179487,39.566666666666656,48.717948717948715,97.58879542350769,81,9,12,7,5
382,446,2179,2243,894,216,193,15,0,117,24,29,0,0,33,4,0,30,85,27,64,0,20,4,18,2,0,0,2,226,197,30,39,56.54450261780105,43.738219895287955,28.412914485165775,44.76439790575916,99.37312006950378,143,20,42,12,14
264,283,1430,1449,581,178,150,9,0,64,32,7,0,4,31,4,0,32,61,17,19,0,6,0,22,3,1,0,0,183,165,21,28,67.42424242424242,45.06060606060606,33.61742424242426,50.0,98.74021410942078,89,23,36,11,10
443,499,2488,2544,1044,206,181,10,0,148,31,17,0,4,31,6,0,37,121,18,56,0,12,2,22,2,1,0,0,287,251,35,58,46.50112866817156,39.60948081264108,8.517155756207657,49.66139954853273,99.43553805351257,70,6,15,2,4
101,123,628,650,255,76,68,3,0,36,4,2,0,2,13,0,0,15,20,4,22,0,5,0,2,1,0,0,1,72,61,11,10,75.24752475247524,35.73267326732673,8.224422442244212,56.43564356435643,99.63124990463257,51,9,8,9,7
248,297,1431,1480,601,148,130,6,5,86,14,6,0,3,16,4,0,32,61,5,49,0,6,0,10,1,0,0,1,169,136,36,26,59.67741935483871,38.556451612903224,7.146505376344074,54.43548387096774,99.7376024723053,116,24,36,8,9
365,420,2127,2184,871,202,169,11,3,102,31,3,0,6,27,4,0,38,89,33,55,0,15,3,19,2,1,0,2,228,196,32,35,55.342465753424655,39.76712328767123,17.708592777085933,48.49315068493151,99.24964904785156,213,43,33,23,18
81,90,508,517,204,69,61,3,1,16,13,4,0,1,14,1,0,9,15,6,9,0,1,0,2,4,0,0,1,57,48,9,3,85.18518518518519,37.39506172839506,15.296296296296305,48.148148148148145,99.26875829696655,82,16,19,13,13
254,286,1381,1413,587,144,125,14,0,78,28,2,0,5,24,3,0,25,63,9,32,0,9,1,19,0,1,0,0,186,164,23,17,56.69291338582677,51.16535433070866,37.64060742407199,53.54330708661418,99.7535228729248,83,9,6,4,2
253,298,1463,1508,596,150,130,12,2,69,26,6,1,6,19,2,0,16,59,29,45,0,10,0,14,3,0,0,0,142,121,20,24,59.28853754940712,45.40316205533597,31.79413702239786,46.24505928853755,99.6745765209198,48,15,11,9,6
301,340,1611,1650,671,185,162,11,1,79,31,12,0,5,29,3,0,23,69,30,39,0,10,1,9,10,0,0,0,182,151,29,33,61.461794019933556,46.44186046511628,33.736031410450025,45.84717607973422,99.60615038871765,79,22,24,10,11
