n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
139,155,825,841,336,103,85,8,0,34,28,6,0,7,25,5,0,8,16,3,16,0,1,5,19,2,0,0,0,115,103,13,9,74.10071942446042,46.9136690647482,31.502697841726615,55.39568345323741,98.43103885650635,438,49,61,45,36
139,155,825,841,336,103,85,8,0,34,28,6,0,7,25,5,0,8,16,3,16,0,1,5,19,2,0,0,0,115,103,13,9,74.10071942446042,46.9136690647482,31.502697841726615,55.39568345323741,98.43103885650635,438,49,61,45,36
68,76,387,395,162,65,57,5,0,17,12,3,0,1,8,2,0,4,13,5,10,0,0,0,8,0,1,0,0,48,44,4,3,95.58823529411765,54.14705882352941,37.54705882352942,50.0,96.12537622451782,159,31,22,23,14
68,76,408,416,168,60,52,5,0,17,12,3,0,1,8,2,0,4,15,5,8,0,0,0,9,0,1,0,0,49,44,5,2,88.23529411764706,51.05882352941177,31.811764705882347,50.0,95.89283466339111,199,27,22,21,15
394,469,2298,2373,934,222,196,25,0,121,36,33,0,2,40,6,0,32,77,16,75,0,16,5,23,3,2,0,1,246,219,28,33,56.34517766497462,49.71065989847716,36.15370558375633,48.47715736040609,98.53740930557251,465,40,72,34,30
394,469,2318,2393,934,222,196,25,0,120,37,33,0,2,40,6,0,32,75,18,75,0,16,5,24,3,2,0,1,246,219,28,33,56.34517766497462,49.203045685279186,36.15370558375633,48.47715736040609,98.53740930557251,483,50,73,34,30
41,45,246,250,102,38,33,2,0,12,9,0,0,1,9,2,0,2,5,0,4,0,0,1,4,1,1,0,0,39,35,5,2,92.6829268292683,43.63414634146341,23.792682926829258,58.536585365853654,95.02587914466858,166,18,21,18,18
41,45,246,250,102,38,33,2,0,12,9,0,0,1,9,2,0,2,5,0,4,0,0,1,4,1,1,0,0,39,35,5,2,92.6829268292683,43.63414634146341,23.792682926829258,58.536585365853654,95.02587914466858,166,18,21,18,18
32,37,157,162,64,28,26,2,0,9,4,0,0,0,3,3,0,2,5,3,5,0,2,1,3,0,1,0,0,23,22,1,4,87.5,58.6875,60.0,46.875,92.95859932899475,79,7,14,7,11
112,124,666,678,278,62,58,7,0,37,13,0,0,1,18,2,0,12,21,6,12,0,2,0,11,0,2,0,0,87,68,19,6,55.35714285714286,48.285714285714285,28.660714285714278,56.25,97.41697907447815,207,22,21,18,14
